StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q39,Q1a,Q1b,Q1b_5_TEXT,Q1c,Q1d,Q1e,Q1f,Q1g_1,Q1g_2,Q1g_5,Q1g_6,Q1g_7,Q1g_8,Q1g_9,Q1g_10,Q1g_11,Q1g_12,Q1g_13,Q1h,Q1i_1,Q1i_2,Q1i_3,Q1i_4,Q1i_5,Q1i_9,Q1i_10,Q1i_11,Q1i_12,Q1j_1,Q1k_1,Q1k_2,Q1l,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q2a_9,Q2a_10,Q2b_1,Q2c_1,Q2d,Q93_1,Q93_2,Q93_3,Q93_4,Q93_5,Q93_6,Q93_7,Q93_8,Q94_1,Q7b
2024-05-15 04:31:58,2024-05-15 04:42:53,IPアドレス,115.188.12.13,100,655,正,2024-05-15 04:42:54,R_4MWZsQpTIqLAXv4,,,,,-36.8693,174.811,qr,EN,はい、研究の質問に進む,4,1985,男性,,English,White,Auckland,"WI, USA",97,94,,,,,,,,,,2,68,15,,,,,,,,58,10 or more,10 or more,"Piano, voice ",62,92,37,62,65,31,43,69,,,57,7.94,Test,,,,,,,,,,Test (Pat)
2024-05-08 09:39:50,2024-05-08 09:46:29,IPアドレス,193.62.12.193,8,399,誤,2024-05-15 09:46:32,R_4gSDtYpSt8MgFWi,,,,,,,anonymous,EN,はい、研究の質問に進む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15 16:23:48,2024-05-15 16:51:11,IPアドレス,202.36.244.44,100,1643,正,2024-05-15 16:51:12,R_4mXcBtB3glCUBPI,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1997,ノンバイナリー,,English,Māori,Auckland,Auckland,100,100,,,,,,,,,,0,,,,,,,,,,32,3-5,10 or more,Guitar,64,54,74,3,75,0,100,50,,,70,10,Social bonding- I think as the tasks progress people will feel more closely bonded,,,,,,,,,,N/a
2024-05-15 16:26:50,2024-05-15 16:51:13,IPアドレス,202.36.244.251,100,1462,正,2024-05-15 16:51:13,R_4umuXEpzZjYWbVT,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,4,1985,男性,,English,White,Auckland,"WI, USA",98,100,,,,,,,,,,1,82,,,,,,,,,30,10 or more,10 or more,"Piano, voice",62,25,48,81,46,87,75,41,,,52,10,Bonding,,,,,,,,,,Best song?
2024-05-15 16:23:45,2024-05-15 16:51:26,IPアドレス,202.36.244.2,100,1660,正,2024-05-15 16:51:26,R_4HZj9CeOFnzOreJ,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1983,男性,,English,Māori and Pakeha,"201 building @ university of Auckland ","Auckland, New Zealand",0,0,,,,,,,,,,0,,,,,,,,,,51,0,0,,100,93,99,0,100,0,86,87,,,70,8,To see how singing would help you to get to know other people,,,,,,,,,,"Pretty fun, well executed"
2024-05-15 16:23:38,2024-05-15 16:51:47,IPアドレス,202.36.244.229,100,1689,正,2024-05-15 16:51:48,R_4YGvtx3KimRLFDd,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1993,ノンバイナリー,,"English ",Pākehā and Māori,"The university of Auckland ",Tāmaki Makaurau,71,72,,,,,,,,,,0,,,,,,,,,,36,6-9,10 or more,"Flute, piano, guitar, ukulele",76,72,79,0,98,0,50,50,,,34,9.34,"I think the goal must have been to see what made us feel more connected as a group - talking, singing, or hand shaking. I think the result will be that we felt more connected from singing? ",,,,,,,,,,I felt more connected after everyone sang one line individually as we all had to put ourselves out there but I’m glad the group singing was first or i wouldn’t have known the tune!
2024-05-15 16:26:32,2024-05-15 16:52:00,IPアドレス,49.224.235.109,100,1527,正,2024-05-15 16:52:01,R_4ONUUMqhD1B27bO,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,4,1986,​​​​​その他（自由説明）,Gender fluid,English,"Maori, Croatian and Scottish  ","University of Auckland ",Taranaki,75,67,,,,,,,,,,1,100,,,,,,,,,50,0,10 or more,"Violin, Piano, recorder ensemble, saxophone, tuned percussion",100,35,100,68,79,61,79,72,,,15,10,Social bonding,,,,,,,,,,Potentially we used the wrong code at the start because the reo Māori song was displayed first and then the slide was changed
2024-05-15 16:26:58,2024-05-15 16:52:11,IPアドレス,49.224.212.10,100,1513,正,2024-05-15 16:52:12,R_4Qft5Njii8EVBPO,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,4,1994,ノンバイナリー,,English,Pakeha,Auckland Uni,Waitakaruru,53,92,,,,,,,,,,1,100,0,,,,,,,,52,3-5,2,"Piano, guitar, drums",98,50,50,0,100,0,96,50,,,49,10,To see how well you connect with strangers after a short time together while doing a shared activity.,,,,,,,,,,"I enjoyed it, could be nice if the group singing had music along. Or if there was a short excert of the song that we were singing."
2024-05-15 16:27:01,2024-05-15 16:52:47,IPアドレス,202.36.244.12,100,1545,正,2024-05-15 16:52:48,R_4L83jYXvKfON2O0,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,4,1959,女性,,"English, te reo Māori","Māori, Pākehā",Building 201,"Whangārei ",1,0,,,,,,,,,,1,84,,,,,,,,,21,0,0,N/a,50,20,61,78,78,24,88,34,,,33,10,Checking bonding with other people through Singing and talking together,,,,,,,,,,It was fun
2024-05-15 17:14:04,2024-05-15 17:41:20,IPアドレス,202.36.244.44,100,1636,正,2024-05-15 17:41:21,R_4AZOf7RvT7fIl9V,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1997,ノンバイナリー,,English,Māori,Auckland,Auckland,100,100,,,,,,,,,,3,84,84,84,,,,,,,31,3-5,10 or more,Guitar,53,57,61,0,71,0,100,46,,,55,10,Social bonding. I think small groups will have higher bonding rates,,,,,,,,,,
2024-05-15 17:14:14,2024-05-15 17:41:57,IPアドレス,202.36.244.229,100,1663,正,2024-05-15 17:41:58,R_4WJaBh8dHv6W9YE,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1993,ノンバイナリー,,English,"Pākehā and Māori ","University of Auckland ",Tāmaki Makaurau,78,79,,,,,,,,,,3,20,21,100,,,,,,,14,6-9,10 or more,"Flute, guitar, piano, ukulele",58,55,64,28,64,5,54,40,,,15,10,"The goal was to see if singing or other activities brought a group of strangers together as a group. I think the result will be that it did. ",,,,,,,,,,"I had a lot of fun, singing a song that everyone knows really creates a bond out of nothing."
2024-05-15 17:14:05,2024-05-15 17:42:00,IPアドレス,115.189.92.13,100,1675,正,2024-05-15 17:42:01,R_40usyCp7YpxeKGG,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1975,女性,,Maori,NZ maori,"Auckland ","Aotearoa ",0,0,,,,,,,,,,1,11,98,,,,,,,,55,0,0,,100,100,100,0,100,0,100,100,,,100,10,Being comfortable with an iconic indigenous waiata,,,,,,,,,,Enjoyed it
2024-05-15 17:14:22,2024-05-15 17:42:09,IPアドレス,202.36.244.12,100,1666,正,2024-05-15 17:42:09,R_42c0AxRfJ46eYZU,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1959,女性,,English,Māori / Pākehā,Building 201 UoA,Whangārei,0,0,,,,,,,,,,3,94,71,70,,,,,,,24,0,0,N/a,65,64,84,5,95,4,82,81,,,50,10,Shared memories and connecting as a group over our enjoyment of a waiata,,,,,,,,,,So fun!
2024-05-15 17:14:07,2024-05-15 17:42:15,IPアドレス,49.224.212.10,100,1687,正,2024-05-15 17:42:15,R_4wRR81dUmFUvSEh,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1994,ノンバイナリー,,English,Pakeha,Auckland Uni,Waitakaruru,71,73,,,,,,,,,,1,71,,,,,,,,,49,3-5,2,"Piano, guitar, drums",73,30,76,0,100,0,100,70,,,52,10,"Examining different factors in bringing a group of strangers into a collective feeling. And based on the different proceedural ways, examine the best ways to do that.",,,,,,,,,,"Very fun, thanks for having me :) good luck"
2024-05-15 17:13:56,2024-05-15 17:42:37,IPアドレス,202.36.244.2,100,1720,正,2024-05-15 17:42:38,R_4SvHpoVV8aiad9V,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1983,男性,,English,Māori and pakeha,201 - uoa,"Auckland, New Zealand",0,0,,,,,,,,,,1,80,,,,,,,,,51,0,0,,81,84,89,12,90,0,100,51,,,71,10,To see how comfortable a group becomes through singing or other interactions,,,,,,,,,,"Well done, very easy instructions to follow.  Possibly to have a scale on The sliders so we can gauge more accurately?"
2024-05-15 17:26:56,2024-05-15 17:45:56,IPアドレス,202.36.244.251,100,1139,正,2024-05-15 17:45:56,R_4yn0slHgUZoqmcN,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,4,1985,男性,,English,White,"Auckland ","WI, USA",100,99,,,,,,,,,,1,79,,,,,,,,,43,10 or more,10 or more,"Piano, voice",67,35,56,43,70,42,80,83,,,55,10,Bonding,,,,,,,,,,"Couldn’t speak te reo "
2024-05-15 17:26:41,2024-05-15 17:46:06,IPアドレス,49.224.235.109,100,1164,正,2024-05-15 17:46:06,R_4QK2ldixOXijiyV,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,4,,​​​​​その他（自由説明）,"Gender fluid ","English ","Māori, Croatian, Scottish ","University of Auckland ",Taranaki,67,58,,,,,,,,,,0,,,,,,,,,,34,0,10 or more,"Violin, piano, recorder ensemble, saxophone, tuned percussion ",100,82,100,0,100,0,100,100,,,82,10,Social bonding,,,,,,,,,,
2024-05-15 17:26:59,2024-05-15 17:47:28,IPアドレス,161.29.92.216,100,1229,正,2024-05-15 17:47:29,R_4nTIFl0OcbsKVfJ,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,4,1981,女性,,"English ","Māori, Pākehā","Auckland, New Zealand ",Australia,82,100,,,,,,,,,,1,67,0,,,,,,,,51,2,2,"Voice, piano, guitar",100,86,87,0,100,0,100,100,,,49,10,"To see if song brings people together. I believe it does having sung with whānau and friends for many years, all occasions and emotions. Waiata connects.",,,,,,,,,,Have water available or suggest fir people to bring their own
2024-05-09 11:11:47,2024-05-09 11:16:48,IPアドレス,95.17.63.65,23,300,誤,2024-05-16 11:22:38,R_27OqFUfYCVsLUy8,,,,,,,anonymous,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,74,27,67,,,,,,,,28,,,,,,,,,,,,
2024-05-09 05:00:34,2024-05-09 13:41:35,IPアドレス,84.251.169.240,38,31260,誤,2024-05-16 13:41:37,R_8ozlFU7xVClZ2CE,,,,,,,anonymous,EN,はい、研究の質問に進む,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,5,10,83,,,,,,,,37,,,,,,,,,,,,
2024-05-10 01:45:20,2024-05-10 02:20:21,IPアドレス,130.234.230.232,51,2101,誤,2024-05-17 02:20:24,R_2P7ubCpFJxXQ2PK,,,,,,,qr,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,100,88,83,,,,,,,,79,,,,,,,,,,,,
2024-05-10 01:45:16,2024-05-10 02:20:31,IPアドレス,130.234.229.187,51,2115,誤,2024-05-17 02:20:36,R_2ltLDB54fPm1cxf,,,,,,,qr,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,41,34,63,,,,,,,,33,,,,,,,,,,,,
2024-05-10 01:45:14,2024-05-10 02:45:26,IPアドレス,130.234.230.153,72,3611,誤,2024-05-17 02:45:32,R_2tQ7t2kuKc3CcKJ,,,,,,,qr,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,4,100,96,44,15,,,,,,98,,,,82,87,88,,,,,,,,89,,,,,,,,,,,,
2024-05-10 01:45:20,2024-05-10 03:05:13,IPアドレス,130.234.230.243,72,4792,誤,2024-05-17 03:05:16,R_28SUWQQ4lwm9hAB,,,,,,,qr,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,5,64,67,66,68,76,71,69,,,0,,,,80,20,100,,,,,,,,4,,,,,,,,,,,,
2024-05-15 03:57:45,2024-05-15 04:22:14,IPアドレス,115.188.12.13,49,1469,誤,2024-05-22 04:22:16,R_4LO7lU27HdxQsZX,,,,,,,anonymous,EN,はい、研究の質問に進む,4,1985,男性,,English,White,Auckland,"WI, USA",95,98,,,,,,,,,,2,41,14,,,,,,,,54,10 or more,10 or more,"Piano, voice, shamisen",49,53,51,48,52,51,50,50,,,51,8.31,,,,,,,,,,,
2024-05-31 07:08:50,2024-06-03 01:37:09,IPアドレス,130.234.74.160,49,239299,誤,2024-06-10 01:37:14,R_2PyPOvhfRHxRnEW,,,,,,,anonymous,EN,はい、研究の質問に進む,C,,,,,,,,58,60,,,,,,,,,,0,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 08:16:39,2024-06-14 08:16:58,IPアドレス,137.204.150.46,13,19,誤,2024-06-21 08:17:05,R_8sYcXqbiP3rM5Qo,,,,,,,anonymous,EN,はい、研究の質問に進む,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 00:22:18,2024-06-18 01:53:12,IPアドレス,130.195.253.40,13,5453,誤,2024-06-25 01:53:12,R_4Rmn1rOhbU5Fxfz,,,,,,,anonymous,JA,はい、研究の質問に進む,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-24 16:33:03,2024-07-24 16:36:48,アンケートプレビュー,,100,225,正,2024-07-24 16:36:48,R_4Au3SoukooCbwoV,,,,,-36.8506,174.7679,preview,EN,はい、研究の質問に進む,S,,,,,,,,60,55,46,48,50,50,50,51,50,50,50,0,,,,,,,,,,51,,,,50,50,50,50,50,50,50,50,50,50,51,,,50,50,50,50,50,50,50,50,42,
2024-07-24 16:38:25,2024-07-24 16:40:42,アンケートプレビュー,,100,137,正,2024-07-24 16:40:42,R_4IPO5esMXm6WxUI,,,,,-36.8506,174.7679,preview,EN,はい、研究の質問に進む,S,,,,,,,,49,50,50,50,50,50,50,51,50,50,50,0,,,,,,,,,,45,,,,50,50,50,50,50,50,50,50,50,50,42,5,,50,50,50,50,50,50,50,50,42,
2024-07-24 17:59:02,2024-07-24 18:13:39,IPアドレス,202.36.244.38,100,877,正,2024-07-24 18:13:39,R_4s74fdLilzbliYg,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,S,23,女性,,"English ","New Zealand European and Maori ","Auckland ","Auckland, New Zealand ",4,6,70,63,69,0,100,0,0,100,0,1,22,0,0,0,,,,,,7,0,2,Violin,100,0,100,100,100,0,100,100,50,100,65,10,The power of group settings. If a group task increases desire to cooperate.,0,100,100,100,0,64,63,57,67,"It was fun! "
2024-07-24 18:02:54,2024-07-24 18:21:59,IPアドレス,49.224.219.195,100,1144,正,2024-07-24 18:22:00,R_4pXqr1YR5n4cJgW,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,S,22,女性,,English,New Zealand/Māori,Tāmaki Makaurau,Tāmaki Makaurau,0,14,100,39,38,63,25,0,59,38,12,1,70,,,,,,,,,31,0,2,Guitar,93,28,74,81,100,63,73,29,35,66,73,10,"To see whether we would all sing together as one at the same pitch (prompted by the leader). That we sang slightly differently but on a bigger picture all together ",49,100,96,71,57,77,32,24,76,"Just that the alternating singing was a little bit confusing to read and understand. "
2024-07-24 17:59:41,2024-07-24 18:23:48,IPアドレス,103.75.11.71,100,1446,正,2024-07-24 18:23:48,R_4zPaKj8gyz5Z4kx,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,S,24,​​​​​その他（自由説明）,Genderfluid,NZ English,"Māori ","Auckland, New Zealand","Auckland, New Zealand",69,64,74,75,50,65,100,65,50,75,75,2,85,24,,,,,,,,22,3-5,6-9,"Violin, flute, piano, drums",100,100,79,100,100,65,67,75,50,100,49,10,Group connection through song? I think we're more comfortable around each other after singing together.,100,100,82,100,69,66,0,21,51,It was very fun! I hope the data we provided was useful with all our mistakes
2024-07-24 17:59:37,2024-07-24 18:24:25,IPアドレス,202.36.244.4,100,1488,正,2024-07-24 18:24:25,R_4nu3WzvreMwG87c,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,S,28,男性,,English,White British,Auckland,"UK ",13,58,38,25,86,59,63,55,3,100,16,0,,,,,,,,,,6,2,10 or more,"Bassoon, piano, guitar, voice",10,74,85,98,98,67,41,10,29,76,50,3.13,To see whether we're more bonded and periodicity towards the group after taking part in a singing activity together. I think the result will be positive.,0,74,59,71,19,41,59,60,55,For this last set of questions it wasn't fully clear whether I was reacting to the individual singing part or the speaking the words part. Also there was a bit of confusion in the group about when to stop and not go on to the next part of the survey. Perhaps this could be a bit clearer?
2024-07-24 17:59:43,2024-07-24 18:26:20,IPアドレス,202.36.244.211,100,1596,正,2024-07-24 18:26:20,R_48FCCIGlsV5w4nj,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,S,41,男性,,"Arabic and Coptic ","Egyptian ","Auckland, New Zealand ","Alexandria , Egypt ",27,26,29,80,48,50,51,48,0,100,0,0,,,,,,,,,,15,0,0,Nil,100,0,34,100,37,0,34,100,99,100,37,,"Trusting ",0,37,98,33,0,27,100,40,46,Nil
2024-07-24 19:00:26,2024-07-24 19:11:22,IPアドレス,202.36.244.40,100,655,正,2024-07-24 19:11:23,R_4P1vDk4ZkbveLG9,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,C,18,女性,,Te reo Māori,Māori,Auckland New Zealand,"Auckland New Zealand ",55,67,68,66,100,50,82,24,0,85,0,0,,,,,,,,,,50,3-5,3-5,Guitar and base but not very good,92,0,100,70,77,28,81,100,78,82,55,10,"To see if by singing together can build trust and bonding to contribute to one another. ",0,100,100,100,0,100,100,69,45,No
2024-07-24 18:58:50,2024-07-24 19:23:08,IPアドレス,202.36.244.199,100,1457,正,2024-07-24 19:23:09,R_4BQkTEV8mH6PMAl,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,C,21,女性,,Vietnamese,Vietnamese,"Auckland, New Zealand","Hanoi, Vietnam",7,11,52,29,30,95,25,74,46,40,43,0,,,,,,,,,,0,0,0,,0,76,67,46,43,65,39,50,37,48,48,10,,0,69,74,75,40,51,36,65,51,
2024-07-24 19:07:33,2024-07-24 19:23:11,IPアドレス,202.36.244.28,100,938,正,2024-07-24 19:23:12,R_4CC0rOt7RMbwZdS,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,C,35,女性,,"English ","NZ European ","Auckland, New Zealand ","Auckland, New Zealand ",0,0,100,50,100,74,73,98,9,93,4,0,,,,,,,,,,31,0,0,,100,16,100,50,100,50,82,100,50,91,51,10,"I have no idea ",0,100,85,100,74,100,70,68,53,It was fun.
2024-07-24 19:07:46,2024-07-24 19:23:26,IPアドレス,202.36.244.60,100,940,正,2024-07-24 19:23:27,R_41jElIefM945JPb,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,C,,女性,,"English and Tok Pisin ","Melanesian ","Auckland, New Zealand ","Port Moresby, Papua New Guinea ",5,0,42,42,65,44,77,55,0,100,0,0,,,,,,,,,,53,0,0,No,34,12,67,71,68,28,69,75,65,84,57,10,"Given we’re all of different ethnicities, I believe the results will be diverse on how we relate to the song and speak and I believe the goal of the experiment was to see how well different people knew the song ",3,86,88,71,55,84,35,33,81,It was fun
2024-07-24 19:07:14,2024-07-24 19:23:35,IPアドレス,49.224.221.13,100,980,正,2024-07-24 19:23:36,R_4pKeakUrfnF1j5R,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,C,20,女性,,English,Indian,Auckland NZ,Hamilton NZ,58,58,99,70,99,85,78,0,0,100,0,0,,,,,,,,,,51,10 or more,6-9,Piano,76,51,87,89,86,0,52,48,44,86,49,10,to see our approach to others behaviour where we don’t know anyone,0,100,93,100,45,54,100,84,53,no
2024-07-24 19:14:02,2024-07-24 19:24:24,IPアドレス,202.36.244.40,100,621,正,2024-07-24 19:24:24,R_4jJ2AzsA5ZcqGAa,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,C,18,女性,,Te reo Māori,Māori,"Auckland New Zealand ","Auckland New Zealand ",42,66,74,63,100,33,81,27,0,100,0,0,,,,,,,,,,58,3-5,3-5,Guitar and base but not very good,100,19,100,86,90,8,68,36,23,67,51,10,,0,72,77,99,3,89,8,100,79,
2024-08-20 20:11:03,2024-08-20 20:32:03,IPアドレス,202.36.244.231,100,1260,正,2024-08-20 20:32:04,R_4QxrkAXuIntGDwa,,,,,-36.8506,174.7679,anonymous,EN,はい、研究の質問に進む,R,20,女性,,"Malayalam ",Asian,"Auckland, New Zealand ","Karnataka, India.",99,92,62,67,75,30,73,65,12,92,5,1,100,,,,,,,,,31,0,0.5,"Violin, piano.",0,16,63,36,68,50,54,89,65,49,32,8.08,"To see if we can increase the trust among the partners. ",90,83,17,60,85,53,69,47,40,
2024-08-20 20:03:31,2024-08-20 20:32:08,IPアドレス,202.36.244.58,100,1716,正,2024-08-20 20:32:09,R_4E9YeXZ7aYlkcBQ,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,20,男性,,"English ",Pakeha,"Auckland, New Zealand ","Wellington, New Zealand ",84,68,50,100,89,100,0,0,100,79,18,0,,,,,,,,,,0,0,10 or more,"Piano, clarinet, ukelele",100,0,85,0,50,34,100,100,73,100,0,6.7,To see if singing or some equivalent conteibutes to greater cooperativeness or some other metric.,79,80,0,50,100,100,37,36,0,
2024-08-20 20:10:47,2024-08-20 20:32:37,IPアドレス,202.36.244.251,100,1309,正,2024-08-20 20:32:37,R_4lbni8dMBFyOuzq,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,20,女性,,Tamil,"Sri-Lankan ","Auckland, NZ","Colombo, Sri-Lanka",50,74,53,33,12,80,68,37,7,95,0,1,100,,,,,,,,,30,0.5,0,N/A,0,0,49,53,61,0,17,72,73,51,52,10,"The goal might be to see how our attitudes towards what we think of a stranger changes before and after an interactive activity. ",86,60,70,46,58,20,100,37,50,No
2024-08-20 20:02:26,2024-08-20 20:33:11,IPアドレス,202.36.244.8,100,1844,正,2024-08-20 20:33:11,R_4XodLtUz6inw9ob,,,,,-36.8506,174.7679,anonymous,EN,はい、研究の質問に進む,R,18,​​​​​その他（自由説明）,Agender,English,Chinese,"Auckland, New Zealand","Auckland, New Zealand",100,77,50,56,61,4,100,0,57,63,63,0,,,,,,,,,,12,3-5,6-9,Piano and violin,78,0,56,68,58,0,54,100,82,100,8,10,I think it aimed to see if completing an uncomfortable or odd task could change how we see the other pafticipants. I think we may feel more comfortable with each other and trust each other a little bit more after the task,65,57,59,63,54,66,74,65,16,"I did not know the tune to any part of the song except for the chorus and so had to follow behind the singing of the one person who did. "
2024-09-11 03:11:58,2024-09-11 04:27:20,IPアドレス,41.114.79.249,83,4521,誤,2024-09-18 04:27:22,R_8ZOcLkDI7aFykIL,,,,,,,anonymous,EN,はい、研究の質問に進む,S,48,女性,,IsiXhosa and IsiZulu,African,"Durban, South Africa","Lusiki-siki, South Africa",100,100,100,100,100,0,100,0,0,100,0,9,33,32,32,31,31,30,31,31,31,50,10 or more,3-5,Zulu stringed bow (Makhweyana and Nyunganyunga Mbira,100,0,100,100,100,0,100,100,100,100,100,10,"I think the goal is to understand the relationship between singing and speech across the globe, by means of using teamwork legitimacy and ethics. I think the results might provide an insight as to ""How are these two related"".",,,,,,,,,,
2024-09-18 04:54:37,2024-09-18 07:33:30,IPアドレス,130.234.74.160,67,9532,誤,2024-09-25 07:33:35,R_27JXDUuJ1euRHtg,,,,,,,anonymous,EN,はい、研究の質問に進む,C,89,ノンバイナリー,,,,,,55,58,57,57,56,56,58,57,58,58,56,6,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07 08:48:44,2024-10-07 16:31:05,アンケートプレビュー,,100,27740,正,2024-10-07 16:31:06,R_4AUrJAefRr67Ca5,,,,,35.3638,139.4763,preview,JA,はい、研究の質問に進む,C,18,男性,,1,1,1,1,26,58,43,40,36,25,27,16,34,45,30,1,71,,,,,,,,,43,0.5,,1,67,55,57,62,62,62,57,53,48,49,39,10,a,55,53,51,51,46,47,56,48,45,1
2024-10-07 20:16:32,2024-10-07 20:31:29,IPアドレス,210.137.32.218,100,896,正,2024-10-07 20:31:29,R_4dKzWkCr0gBoQ2p,,,,,35.6837,139.6805,qr,JA,はい、研究の質問に進む,C,,,,,,,,54,50,56,65,65,63,59,65,65,63,64,0,,,,,,,,,,50,0,,,53,60,58,58,56,58,57,60,55,64,48,5.51,,60,56,54,56,60,61,60,58,50,
2024-10-07 20:28:29,2024-10-07 20:33:47,IPアドレス,133.27.90.21,100,317,正,2024-10-07 20:33:48,R_4cr4CR6YHYUduQF,,,,,35.6897,139.6895,qr,JA,はい、研究の質問に進む,C,25,​​​​​その他（自由説明）,,日本語,日本,日本,日本,7,75,68,64,59,61,63,64,59,67,63,1,18,14,15,19,15,11,14,22,13,58,2,10 or more,三味線,66,61,63,62,62,59,69,62,64,61,63,10,ソーシャルボンディング,65,79,70,65,61,62,62,63,70,
2024-10-07 22:44:29,2024-10-07 23:06:06,IPアドレス,133.27.10.2,100,1297,正,2024-10-07 23:06:07,R_4EaxubvNoElAqI0,,,,,35.3638,139.4763,qr,JA,はい、研究の質問に進む,S,22,女性,,日本語,アジア人,神奈川県、日本,東京都、日本,72,79,25,11,70,62,83,0,31,100,0,3,67,37,0,,,,,,,11,2,6-9,ピアノ、フルート,100,70,32,72,60,100,35,100,34,100,16,6.11,共に歌うことで、他者との繋がりを感じるようになる。,15,27,100,36,62,28,100,32,16,
2024-10-07 22:44:55,2024-10-07 23:06:30,IPアドレス,210.137.32.218,100,1295,正,2024-10-07 23:06:31,R_4fJB8omwdk2v3UQ,,,,,35.6837,139.6805,qr,JA,はい、研究の質問に進む,S,,女性,,日本語,日本人,神奈川県　日本,大阪　日本,83,84,49,63,47,73,57,30,19,77,25,2,,36,,,0,,,,,11,6-9,6-9,フルート,100,27,63,58,55,0,54,50,67,69,26,5,一緒に歌うことによる一体感の実現を測る。信頼感が生まれる。,70,66,61,60,46,49,100,61,26,
2024-10-07 22:44:44,2024-10-07 23:06:31,IPアドレス,133.27.10.2,100,1307,正,2024-10-07 23:06:31,R_4CVt3u5azZVuy9r,,,,,35.3638,139.4763,qr,JA,はい、研究の質問に進む,S,20,女性,,日本語,日本,日本,浦安　日本,89,100,27,30,36,66,50,51,62,65,36,7,0,0,0,0,0,0,41,,,0,0,10 or more,ヴァイオリン,100,50,50,26,19,84,26,100,70,60,27,5,人と歌うという共同作業を行うことで周りとの一体感を感じ、人と人の繋がりを強くすることができるかを検証することが目的だと思う。わたしは人見知りなのでそこまで一体感を得ることができないと思います。,81,59,41,29,60,19,100,36,39,実験の初段階でどれほど他の参加者なことを知っているかによって効果が変わるのではないかと思った
